milliseconds,orientationx,orientationy,orientationz,angVelocityx,angVelocityy,angVelocityz,linAccelerationx,linAccelerationy,linAccelerationz,magneticx,magneticy,magneticz,accelerationx,accelerationy,accelerationz,gravityx,gravityy,gravityz,altitude
5401092,61.19,-61.62,140.81,0.05,0.06,0.06,-0.17,-0.11,-0.03,37.19,29.25,2.69,-8.93,-3.07,-3.68,-8.63,-2.93,-3.61,50.37
5401123,61.56,-61.69,140.81,0.26,0.03,0.09,-0.10,-0.05,0.01,37.19,29.25,2.69,-8.74,-2.99,-3.58,-8.63,-2.93,-3.60,50.41
5401146,62.00,-61.69,140.62,0.32,0.03,0.11,0.02,0.05,0.11,37.56,28.56,2.25,-8.61,-2.89,-3.47,-8.63,-2.94,-3.58,50.35
5401177,62.38,-61.75,140.56,0.15,0.04,0.09,0.16,0.11,0.10,37.56,28.56,2.25,-8.47,-2.82,-3.47,-8.64,-2.94,-3.57,50.33
5401203,62.31,-61.75,140.75,-0.04,0.05,0.04,0.13,0.05,-0.12,36.88,28.88,3.19,-8.52,-2.87,-3.78,-8.64,-2.92,-3.59,50.32
5401232,62.38,-61.75,140.94,0.07,0.07,0.05,0.09,0.12,-0.23,36.88,28.88,3.19,-8.54,-2.79,-3.83,-8.64,-2.91,-3.60,50.23
5401261,62.50,-61.75,141.00,0.13,0.08,0.06,0.19,0.17,-0.10,37.56,28.88,0.56,-8.44,-2.73,-3.71,-8.63,-2.91,-3.61,50.24
5401289,62.75,-61.69,141.19,0.13,0.09,0.06,-0.16,0.10,0.05,36.88,28.88,2.69,-8.92,-2.80,-3.52,-8.63,-2.91,-3.62,50.28
5401320,63.00,-61.56,141.38,0.08,0.13,0.07,-0.44,0.12,0.19,36.88,28.88,2.69,-9.07,-2.77,-3.46,-8.62,-2.90,-3.65,50.27
5401349,63.19,-61.44,141.75,0.12,0.20,0.12,-0.44,0.15,0.13,38.00,27.75,2.38,-8.86,-2.64,-3.55,-8.61,-2.88,-3.69,50.32
5401380,63.69,-61.31,142.25,0.33,0.30,0.19,0.04,0.44,0.14,38.00,27.75,2.38,-8.55,-2.42,-3.59,-8.59,-2.87,-3.73,50.24
5401410,64.44,-61.06,142.81,0.33,0.39,0.20,0.27,0.44,-0.10,38.69,28.19,3.19,-8.29,-2.41,-3.90,-8.57,-2.85,-3.80,50.22
5401439,65.25,-60.69,143.44,0.37,0.40,0.18,0.26,0.36,-0.26,38.69,28.19,3.19,-8.34,-2.50,-4.20,-8.54,-2.85,-3.87,50.17
5401470,66.38,-60.38,143.75,0.50,0.36,0.17,-0.11,0.17,-0.27,38.38,27.50,2.25,-8.63,-2.69,-4.19,-8.51,-2.87,-3.92,50.17
5401499,67.69,-60.12,143.75,0.56,0.27,0.16,0.09,0.14,-0.09,38.38,27.50,2.69,-8.03,-2.79,-3.93,-8.50,-2.89,-3.94,50.18
5401530,68.94,-60.00,143.62,0.58,0.19,0.19,0.82,-0.04,0.02,38.38,27.50,2.69,-7.66,-2.95,-3.92,-8.49,-2.91,-3.94,50.15
5401560,70.12,-60.00,143.38,0.66,0.14,0.27,0.54,-0.40,-0.11,39.06,27.75,3.19,-7.95,-3.32,-4.03,-8.50,-2.91,-3.92,50.21
5401589,71.38,-60.19,143.19,0.67,0.10,0.34,0.04,-0.48,-0.16,39.06,27.75,3.19,-8.62,-3.40,-4.06,-8.51,-2.90,-3.89,50.15
5401620,72.25,-60.44,143.19,0.53,0.05,0.32,-0.46,-0.37,0.00,38.69,26.69,1.88,-9.00,-3.26,-3.86,-8.53,-2.89,-3.86,50.16
5401649,72.88,-60.69,143.12,0.41,0.02,0.24,-0.34,-0.14,0.23,39.88,26.25,1.88,-8.81,-2.93,-3.51,-8.55,-2.87,-3.83,50.12
5401680,73.38,-60.75,143.00,0.26,0.03,0.12,0.00,0.07,0.49,39.88,26.25,1.88,-8.52,-2.75,-3.33,-8.56,-2.87,-3.81,50.18
5401711,73.94,-60.75,142.88,0.29,0.08,0.08,0.21,0.41,0.37,39.50,26.00,1.38,-8.33,-2.47,-3.43,-8.55,-2.89,-3.81,50.17
5401740,74.75,-60.69,142.69,0.40,0.15,0.08,0.43,0.50,0.18,39.50,26.00,1.38,-8.02,-2.47,-3.70,-8.55,-2.91,-3.81,50.14
5401771,76.00,-60.56,142.31,0.62,0.19,0.12,0.73,0.00,-0.26,40.19,25.19,1.00,-7.80,-2.94,-4.07,-8.53,-2.95,-3.81,50.28
5401799,77.75,-60.44,141.81,0.81,0.21,0.18,0.54,-0.32,-0.48,40.56,26.00,-0.25,-7.99,-3.30,-4.28,-8.53,-2.99,-3.79,50.22
5401825,79.50,-60.44,141.31,0.82,0.17,0.25,-0.09,-0.73,-0.62,40.56,26.00,-0.25,-8.81,-3.77,-4.32,-8.53,-3.02,-3.76,50.14
5401855,80.81,-60.62,140.88,0.65,0.06,0.25,-0.56,-0.74,-0.30,41.00,26.00,1.00,-9.11,-3.77,-4.03,-8.54,-3.03,-3.73,50.14
5401883,81.62,-60.81,140.56,0.44,0.00,0.20,-0.56,-0.54,0.11,41.00,26.00,1.00,-9.12,-3.57,-3.58,-8.56,-3.03,-3.69,50.22
5401913,82.00,-60.94,140.44,0.29,0.00,0.13,-0.30,-0.33,0.38,40.56,25.56,-1.19,-8.88,-3.36,-3.27,-8.57,-3.02,-3.66,50.23
5401942,82.38,-61.06,140.31,0.19,0.04,0.09,0.14,-0.03,0.61,40.56,24.50,-1.06,-8.43,-3.06,-3.03,-8.58,-3.02,-3.65,50.25
5401972,82.69,-61.06,140.31,0.16,0.11,0.09,0.60,0.08,0.46,40.56,24.50,-1.06,-7.97,-2.93,-3.19,-8.58,-3.02,-3.65,50.20
5402001,83.06,-61.00,140.50,0.18,0.17,0.10,0.72,-0.05,0.00,40.56,24.75,-1.50,-7.85,-3.07,-3.68,-8.57,-3.01,-3.68,50.21
5402031,83.56,-60.81,140.88,0.27,0.24,0.16,0.33,-0.16,-0.46,40.56,24.75,-1.50,-8.22,-3.16,-4.17,-8.56,-3.00,-3.71,50.26
5402063,84.12,-60.75,141.25,0.32,0.17,0.25,0.01,-0.25,-0.64,41.38,24.50,-2.00,-8.55,-3.23,-4.38,-8.56,-2.98,-3.73,50.25
5402092,84.56,-60.81,141.62,0.33,0.11,0.26,-0.38,-0.24,-0.43,41.25,24.06,-0.19,-8.95,-3.19,-4.17,-8.56,-2.95,-3.74,50.30
5402122,85.00,-61.00,141.81,0.36,0.10,0.25,-0.14,-0.16,0.04,41.25,24.06,-0.19,-8.72,-3.09,-3.69,-8.58,-2.92,-3.73,50.26
5402151,85.56,-61.06,141.94,0.40,0.12,0.22,0.02,-0.10,0.27,42.06,23.69,-0.19,-8.48,-3.06,-3.38,-8.58,-2.91,-3.73,50.20
5402181,86.31,-61.06,142.00,0.40,0.15,0.18,0.18,-0.27,0.36,42.06,23.69,-0.19,-8.40,-3.19,-3.37,-8.58,-2.91,-3.73,50.18
5402212,87.12,-61.00,142.00,0.31,0.18,0.13,0.10,-0.37,0.17,42.38,23.00,-2.00,-8.46,-3.30,-3.57,-8.57,-2.92,-3.74,50.16
5402241,87.75,-60.88,141.94,0.16,0.16,0.09,0.00,-0.40,0.09,42.06,22.56,-2.00,-8.58,-3.30,-3.67,-8.56,-2.94,-3.76,50.20
5402271,87.94,-60.75,142.06,0.01,0.10,0.08,0.23,-0.26,0.05,42.06,22.56,-2.00,-8.32,-3.20,-3.73,-8.55,-2.93,-3.78,50.23
5402300,87.75,-60.69,142.50,-0.10,0.08,0.10,0.50,-0.04,0.08,42.25,23.00,-0.69,-7.91,-2.80,-3.73,-8.55,-2.90,-3.81,50.31
5402325,87.31,-60.69,143.19,-0.13,0.10,0.14,0.60,0.19,-0.03,42.25,23.00,-0.69,-7.99,-2.65,-3.95,-8.55,-2.85,-3.85,50.32
5402355,87.06,-60.69,143.88,0.05,0.14,0.20,0.32,0.30,-0.23,42.69,21.88,-0.19,-8.23,-2.52,-4.10,-8.55,-2.82,-3.87,50.32
5402384,87.19,-60.75,144.38,0.21,0.16,0.22,0.18,0.34,-0.36,42.69,21.88,-0.19,-8.37,-2.43,-4.26,-8.55,-2.78,-3.89,50.31
5402414,87.50,-60.69,144.62,0.39,0.17,0.22,0.16,0.07,-0.69,42.75,22.25,-1.06,-8.38,-2.69,-4.60,-8.55,-2.76,-3.91,50.26
5402443,88.38,-60.69,144.69,0.63,0.15,0.24,-0.03,-0.30,-0.80,42.69,21.50,-0.69,-8.58,-3.08,-4.71,-8.55,-2.77,-3.90,50.27
5402473,89.81,-60.75,144.38,0.85,0.14,0.28,-0.23,-0.60,-0.58,42.69,21.50,-0.69,-8.79,-3.40,-4.46,-8.55,-2.79,-3.88,50.24
5402502,91.56,-60.81,143.81,0.89,0.11,0.28,-0.16,-0.60,-0.09,43.75,21.50,-2.00,-8.73,-3.43,-3.93,-8.56,-2.82,-3.83,50.11
5402532,93.25,-60.94,143.19,0.77,0.09,0.23,0.21,-0.49,0.41,43.75,21.50,-2.00,-8.36,-3.35,-3.38,-8.57,-2.85,-3.79,50.07
5402562,94.56,-61.06,142.69,0.58,0.07,0.17,0.48,-0.43,0.60,43.06,20.75,-1.50,-8.10,-3.31,-3.16,-8.58,-2.87,-3.76,50.07
5402591,95.19,-61.06,142.50,0.14,0.04,0.04,0.56,-0.33,0.64,43.50,19.56,-2.88,-8.02,-3.23,-3.23,-8.58,-2.88,-3.76,50.09
5402622,95.12,-61.00,142.56,-0.11,0.02,-0.06,0.47,-0.43,0.10,43.50,19.56,-2.88,-8.10,-3.31,-3.67,-8.57,-2.88,-3.77,50.09
5402651,94.88,-60.94,142.75,-0.18,0.02,-0.06,0.33,-0.25,-0.15,43.06,19.56,-2.00,-8.28,-3.05,-4.01,-8.57,-2.88,-3.79,50.23
5402682,94.44,-60.81,143.00,-0.26,-0.01,-0.06,0.27,-0.12,-0.47,43.06,19.56,-2.00,-8.29,-2.99,-4.29,-8.56,-2.86,-3.81,50.09
5402712,94.06,-60.88,143.12,-0.09,-0.03,0.00,0.29,-0.22,-0.59,43.06,20.00,-2.50,-8.27,-3.08,-4.41,-8.56,-2.85,-3.81,50.05
5402741,94.19,-60.94,143.12,0.20,0.00,0.11,0.21,-0.31,-0.51,43.75,20.00,-2.00,-8.31,-3.16,-4.22,-8.57,-2.85,-3.81,50.08
5402772,94.88,-60.88,143.06,0.35,0.04,0.18,0.11,-0.40,-0.12,43.75,20.00,-2.00,-8.45,-3.26,-3.92,-8.57,-2.86,-3.80,50.14
5402800,95.62,-61.00,142.88,0.44,0.06,0.17,-0.16,-0.47,0.00,44.19,20.00,-3.25,-8.81,-3.36,-3.71,-8.58,-2.86,-3.78,50.15
5402826,96.44,-61.06,142.62,0.37,0.05,0.11,-0.30,-0.57,0.29,44.19,20.00,-3.25,-8.89,-3.45,-3.47,-8.58,-2.88,-3.76,50.16
5402857,96.94,-61.06,142.44,0.18,0.02,0.03,-0.19,-0.60,0.41,43.75,19.38,-2.88,-8.78,-3.48,-3.34,-8.58,-2.88,-3.75,50.20
5402886,97.00,-61.06,142.38,-0.09,-0.02,-0.04,0.32,-0.42,0.38,43.75,19.38,-2.88,-8.25,-3.31,-3.37,-8.58,-2.89,-3.75,50.18
5402916,96.62,-61.00,142.50,-0.28,-0.05,-0.09,0.43,-0.29,0.01,44.19,18.56,-2.50,-8.14,-3.18,-3.74,-8.58,-2.88,-3.76,50.14
5402945,95.94,-61.00,142.62,-0.31,-0.10,-0.11,0.39,-0.26,-0.22,44.19,19.69,-2.00,-8.18,-3.14,-3.99,-8.58,-2.88,-3.77,50.03
5402977,95.44,-61.06,142.56,-0.22,-0.13,-0.08,0.39,-0.31,-0.31,44.19,19.69,-2.00,-8.19,-3.19,-4.07,-8.58,-2.87,-3.76,50.09
5403006,95.06,-61.19,142.50,-0.12,-0.11,-0.02,0.47,-0.17,-0.14,43.75,19.25,-2.88,-8.11,-3.05,-3.89,-8.59,-2.87,-3.75,50.12
5403036,94.88,-61.19,142.44,-0.09,-0.07,-0.02,0.47,0.00,0.13,43.75,19.25,-2.88,-8.11,-2.87,-3.60,-8.59,-2.87,-3.74,50.14
5403063,94.75,-61.25,142.38,-0.03,-0.02,-0.04,-0.13,-0.04,0.06,44.19,19.69,-2.88,-8.73,-2.91,-3.67,-8.59,-2.87,-3.73,50.09
5403093,94.81,-61.19,142.38,-0.02,-0.00,-0.04,-0.57,-0.07,0.02,43.75,19.69,-3.25,-9.16,-2.95,-3.71,-8.59,-2.88,-3.73,50.08
5403123,94.81,-61.12,142.25,-0.06,-0.02,-0.04,-0.31,0.00,-0.03,43.75,19.69,-3.25,-8.90,-2.89,-3.77,-8.59,-2.89,-3.74,50.01
5403152,94.75,-61.12,142.31,-0.10,0.00,-0.04,0.31,-0.02,-0.19,44.56,19.38,-2.00,-8.27,-2.91,-3.94,-8.58,-2.89,-3.74,50.06
5403183,94.62,-61.06,142.38,-0.08,0.01,-0.03,0.51,-0.04,-0.37,44.56,19.38,-2.00,-8.06,-2.93,-4.13,-8.58,-2.89,-3.75,50.08
5403213,94.56,-61.06,142.38,0.03,-0.00,-0.01,0.23,-0.21,-0.62,44.19,20.06,-2.00,-8.34,-3.11,-4.38,-8.58,-2.89,-3.75,50.09
5403242,94.69,-61.06,142.25,0.09,-0.01,0.00,-0.06,-0.17,-0.45,45.00,20.88,-2.50,-8.65,-3.08,-4.20,-8.58,-2.90,-3.74,50.09
5403273,94.94,-61.06,142.06,0.12,-0.00,-0.01,-0.01,-0.19,-0.06,45.00,20.88,-2.50,-8.59,-3.11,-3.80,-8.58,-2.91,-3.73,50.08
5403301,95.25,-61.06,141.81,0.15,0.01,-0.01,0.18,-0.28,0.10,43.75,20.50,-2.00,-8.34,-3.26,-3.60,-8.58,-2.93,-3.72,50.14
5403332,95.56,-61.00,141.62,0.10,0.02,0.01,0.15,-0.46,-0.05,43.75,20.50,-2.00,-8.42,-3.41,-3.78,-8.57,-2.94,-3.72,50.13
5403363,95.81,-60.94,141.56,-0.02,0.03,-0.01,0.08,-0.34,-0.17,43.06,19.38,-3.25,-8.48,-3.31,-3.91,-8.56,-2.96,-3.73,50.24
5403392,95.81,-60.81,141.56,-0.08,0.02,-0.03,0.20,-0.17,-0.05,43.50,20.06,-2.50,-8.39,-3.09,-3.78,-8.56,-2.96,-3.75,50.18
5403422,95.62,-60.75,141.69,-0.16,-0.01,-0.06,0.14,-0.11,-0.05,43.50,20.06,-2.50,-8.41,-3.08,-3.82,-8.55,-2.96,-3.76,50.19
5403452,95.44,-60.69,141.75,-0.14,-0.01,-0.06,0.17,-0.06,-0.01,43.75,19.69,-2.00,-8.39,-3.03,-3.80,-8.54,-2.97,-3.77,50.25
5403483,95.25,-60.56,141.81,-0.11,0.01,-0.05,0.03,0.02,-0.12,43.75,19.69,-2.00,-8.50,-2.94,-3.91,-8.54,-2.97,-3.78,50.25
5403513,95.12,-60.50,141.94,-0.04,0.04,-0.03,0.03,0.07,-0.15,43.06,20.50,-1.50,-8.49,-2.89,-3.95,-8.53,-2.97,-3.80,50.29
5403542,95.12,-60.44,142.00,-0.03,0.04,-0.04,0.18,0.08,-0.18,43.06,20.06,-1.50,-8.33,-2.92,-4.03,-8.52,-2.97,-3.81,50.22
5403573,95.19,-60.31,142.06,0.01,0.03,-0.03,0.24,0.04,-0.08,43.06,20.06,-1.50,-8.27,-2.93,-3.91,-8.51,-2.98,-3.83,50.21
5403602,95.31,-60.19,142.00,0.02,0.03,-0.05,0.18,-0.02,-0.02,43.06,21.19,-2.50,-8.29,-3.09,-3.88,-8.51,-3.00,-3.83,50.23
5403633,95.50,-60.12,141.88,0.01,0.02,-0.06,0.13,-0.19,-0.05,43.06,21.19,-2.50,-8.36,-3.21,-3.89,-8.50,-3.02,-3.84,50.20
5403663,95.62,-60.00,141.75,-0.01,0.01,-0.05,0.16,-0.15,-0.12,43.50,20.88,-2.50,-8.33,-3.19,-3.97,-8.49,-3.03,-3.85,50.21
5403692,95.81,-59.88,141.69,0.02,0.03,-0.05,0.23,-0.03,-0.06,43.75,20.50,-1.06,-8.24,-3.09,-3.92,-8.48,-3.05,-3.86,50.14
5403723,96.00,-59.75,141.56,0.05,0.03,-0.04,0.23,-0.03,-0.05,43.75,20.50,-1.06,-8.23,-3.10,-3.91,-8.47,-3.06,-3.86,50.14
5403752,96.19,-59.69,141.44,0.03,0.02,-0.04,0.15,-0.13,-0.03,44.19,21.19,-1.50,-8.31,-3.22,-3.90,-8.46,-3.08,-3.86,50.11
5403783,96.38,-59.62,141.38,0.01,0.03,-0.02,0.00,-0.16,-0.11,44.19,21.19,-1.50,-8.46,-3.25,-3.98,-8.46,-3.09,-3.87,50.23
5403814,96.44,-59.56,141.44,0.01,0.03,-0.01,0.00,-0.07,-0.09,43.06,20.88,-2.88,-8.45,-3.17,-3.98,-8.45,-3.09,-3.88,50.28
5403843,96.50,-59.50,141.44,0.01,0.02,-0.01,0.06,-0.04,-0.05,43.06,20.50,-2.88,-8.38,-3.14,-3.95,-8.45,-3.09,-3.89,50.26
5403873,96.62,-59.44,141.44,-0.00,0.00,-0.02,0.02,-0.07,-0.07,43.06,20.50,-2.88,-8.42,-3.18,-3.96,-8.44,-3.10,-3.89,50.28
5403904,96.69,-59.44,141.38,0.01,0.02,-0.01,0.00,-0.15,-0.05,43.06,20.50,-2.00,-8.44,-3.26,-3.95,-8.44,-3.10,-3.89,50.39
5403934,96.81,-59.38,141.31,0.07,0.03,-0.02,0.00,-0.28,0.00,43.06,20.50,-2.00,-8.43,-3.40,-3.89,-8.43,-3.12,-3.89,50.35
5403964,97.12,-59.31,141.19,0.04,0.02,-0.02,0.08,-0.28,0.04,43.50,20.88,-2.88,-8.34,-3.42,-3.85,-8.43,-3.13,-3.89,50.28
5403993,97.25,-59.25,141.00,-0.01,-0.01,-0.03,0.16,-0.14,0.13,43.50,20.06,-2.00,-8.26,-3.30,-3.76,-8.42,-3.15,-3.89,50.22
5404024,97.44,-59.19,140.94,-0.08,-0.02,-0.05,0.33,-0.12,0.07,43.50,20.06,-2.00,-8.09,-3.29,-3.82,-8.42,-3.16,-3.89,50.21
5404055,97.31,-59.12,140.88,-0.09,-0.02,-0.06,0.21,-0.09,-0.05,42.25,20.50,-1.06,-8.20,-3.26,-3.95,-8.42,-3.17,-3.90,50.19
5404085,97.19,-59.12,140.88,-0.12,-0.04,-0.06,0.04,-0.08,-0.10,42.25,20.50,-1.06,-8.37,-3.25,-4.00,-8.41,-3.17,-3.90,50.21
5404115,97.19,-59.12,140.88,-0.12,-0.07,-0.05,0.08,0.03,0.00,43.06,19.69,-0.69,-8.33,-3.14,-3.91,-8.41,-3.17,-3.90,50.24
5404144,96.88,-59.12,140.81,-0.10,-0.07,-0.04,0.15,0.02,0.02,42.69,21.19,-1.50,-8.26,-3.14,-3.87,-8.42,-3.17,-3.89,50.33
5404174,96.75,-59.19,140.81,-0.01,-0.03,-0.01,0.13,-0.09,-0.04,42.69,21.19,-1.50,-8.28,-3.27,-3.93,-8.42,-3.17,-3.89,50.29
5404204,96.69,-59.19,140.75,-0.07,-0.02,-0.02,0.09,-0.23,0.01,43.50,21.19,-1.50,-8.32,-3.40,-3.87,-8.42,-3.17,-3.89,50.26
5404234,96.38,-59.12,140.81,-0.24,-0.07,-0.07,0.00,-0.24,0.02,43.50,21.19,-1.50,-8.42,-3.41,-3.87,-8.42,-3.17,-3.89,50.25
5404264,95.88,-59.19,140.88,-0.26,-0.08,-0.09,-0.03,-0.14,0.04,43.06,21.56,-0.19,-8.45,-3.30,-3.85,-8.42,-3.16,-3.89,50.21
5404293,95.38,-59.12,141.00,-0.26,-0.05,-0.09,0.19,0.06,0.01,43.50,21.56,-1.50,-8.22,-3.09,-3.89,-8.41,-3.16,-3.90,50.15
5404324,95.00,-59.06,141.12,-0.12,0.00,-0.04,0.31,0.02,-0.18,43.50,21.56,-1.50,-8.09,-3.13,-4.11,-8.41,-3.15,-3.92,50.17
5404354,94.88,-59.00,141.25,0.00,0.01,0.02,0.18,0.00,-0.27,42.25,21.56,-1.06,-8.22,-3.14,-4.21,-8.40,-3.15,-3.93,50.20
5404384,94.94,-59.00,141.38,0.06,0.03,0.05,0.09,0.00,-0.22,42.25,21.56,-1.06,-8.31,-3.14,-4.17,-8.40,-3.14,-3.94,50.15
5404414,95.12,-58.94,141.44,0.11,0.03,0.05,0.02,-0.05,-0.14,42.69,21.19,-1.06,-8.38,-3.20,-4.09,-8.40,-3.14,-3.95,50.21
5404444,95.38,-59.00,141.44,0.12,0.03,0.06,0.07,-0.04,0.00,43.06,21.19,-0.19,-8.33,-3.19,-3.95,-8.40,-3.14,-3.94,50.17
5404474,95.62,-59.00,141.44,0.11,0.03,0.05,0.04,-0.08,-0.02,43.06,21.19,-0.19,-8.36,-3.23,-3.97,-8.40,-3.14,-3.94,50.18
5404504,95.81,-59.00,141.38,0.11,0.03,0.05,0.13,-0.05,-0.01,42.25,22.38,-2.00,-8.27,-3.20,-3.95,-8.40,-3.14,-3.94,50.15
5404535,96.00,-59.00,141.38,0.07,0.04,0.03,0.22,-0.08,0.00,42.25,22.38,-2.00,-8.18,-3.23,-3.95,-8.40,-3.14,-3.94,50.05
5404564,96.25,-58.94,141.38,0.07,0.04,0.01,0.15,-0.16,-0.09,43.50,21.19,-2.00,-8.24,-3.32,-4.04,-8.40,-3.15,-3.95,50.12
5404594,96.50,-58.88,141.31,0.07,0.05,0.01,0.03,-0.14,-0.05,43.50,21.56,-2.00,-8.35,-3.30,-4.01,-8.39,-3.16,-3.95,50.16
5404625,96.75,-58.81,141.25,0.07,0.03,-0.00,-0.10,-0.10,-0.04,43.50,21.56,-2.00,-8.49,-3.28,-4.00,-8.39,-3.17,-3.96,50.27
5404654,97.00,-58.75,141.19,0.07,0.03,-0.01,-0.05,-0.01,-0.01,43.06,20.88,-1.06,-8.44,-3.20,-3.97,-8.38,-3.18,-3.96,50.28
5404685,97.19,-58.69,141.12,0.00,0.04,-0.03,0.07,-0.09,-0.03,43.06,20.88,-1.06,-8.30,-3.28,-4.00,-8.38,-3.19,-3.96,50.25
5404715,97.25,-58.62,141.19,-0.04,0.05,-0.04,0.11,-0.28,-0.06,42.25,21.56,-1.06,-8.25,-3.48,-4.04,-8.36,-3.20,-3.98,50.25
5404745,97.31,-58.50,141.19,-0.05,0.05,-0.04,0.10,-0.19,0.12,43.50,21.56,-1.06,-8.25,-3.40,-3.87,-8.35,-3.21,-3.99,50.25
5404775,97.25,-58.31,141.25,-0.11,0.05,-0.06,0.07,-0.19,0.25,43.50,21.56,-1.06,-8.26,-3.41,-3.75,-8.34,-3.22,-4.01,50.17
5404804,97.25,-58.19,141.25,-0.10,0.06,-0.06,0.06,-0.25,0.14,43.06,21.19,-1.06,-8.27,-3.47,-3.88,-8.33,-3.22,-4.03,50.20
5404835,97.19,-58.06,141.38,-0.12,0.07,-0.02,0.14,-0.17,0.00,43.06,21.19,-1.06,-8.17,-3.40,-4.06,-8.32,-3.22,-4.05,50.24
5404865,97.00,-57.94,141.69,-0.12,0.06,-0.00,0.09,-0.04,-0.06,43.06,21.56,-1.06,-8.21,-3.26,-4.15,-8.31,-3.21,-4.08,50.21
5404895,96.81,-57.88,141.94,-0.09,0.05,0.00,0.12,0.03,-0.05,42.69,21.56,-0.69,-8.17,-3.17,-4.16,-8.30,-3.20,-4.10,50.24
5404925,96.62,-57.81,142.12,-0.07,0.03,-0.03,-0.30,-0.05,-0.13,42.69,21.56,-0.69,-8.60,-3.25,-4.25,-8.30,-3.20,-4.12,50.25
5404955,96.56,-57.75,142.25,-0.08,0.03,-0.04,-0.45,-0.09,-0.03,43.50,21.56,-1.50,-8.74,-3.29,-4.17,-8.29,-3.20,-4.13,50.30
5404985,96.50,-57.69,142.25,-0.10,0.01,-0.09,0.10,0.09,0.17,43.50,21.56,-1.50,-8.17,-3.11,-3.97,-8.28,-3.20,-4.15,50.29
5405016,96.38,-57.56,142.25,-0.16,-0.01,-0.11,0.60,0.04,0.07,42.69,22.00,-0.19,-7.66,-3.16,-4.08,-8.27,-3.21,-4.16,50.22
5405047,95.94,-57.44,142.38,-0.21,-0.03,-0.09,0.40,-0.14,-0.17,42.25,22.00,-0.19,-7.86,-3.35,-4.35,-8.27,-3.21,-4.17,50.25
5405074,95.56,-57.44,142.44,-0.14,-0.04,-0.03,0.20,-0.19,-0.17,42.25,22.00,-0.19,-8.06,-3.40,-4.35,-8.27,-3.20,-4.17,50.21
5405104,95.44,-57.44,142.50,-0.08,-0.03,-0.01,0.07,-0.08,-0.04,42.25,21.56,0.69,-8.20,-3.28,-4.22,-8.27,-3.20,-4.18,50.18
5405135,95.31,-57.50,142.56,-0.02,-0.01,0.03,0.11,-0.10,-0.03,42.25,21.56,0.69,-8.15,-3.29,-4.22,-8.27,-3.19,-4.18,50.33
5405166,95.25,-57.50,142.62,-0.02,-0.03,0.05,0.18,-0.06,-0.05,42.25,22.69,-0.69,-8.09,-3.25,-4.23,-8.27,-3.18,-4.18,50.36
5405195,95.06,-57.62,142.75,-0.05,-0.03,0.04,-0.13,-0.13,-0.31,42.25,22.38,-1.06,-8.42,-3.31,-4.49,-8.28,-3.17,-4.17,50.32
5405226,94.94,-57.69,142.75,0.02,-0.05,0.03,0.02,-0.01,-0.14,42.25,22.38,-1.06,-8.26,-3.18,-4.31,-8.29,-3.16,-4.16,50.18
5405256,94.94,-57.75,142.69,0.02,-0.07,0.01,0.21,0.04,0.08,42.25,22.38,-0.19,-8.09,-3.11,-4.06,-8.30,-3.16,-4.15,50.11
5405286,94.81,-57.88,142.56,-0.04,-0.07,-0.00,0.24,0.02,0.17,42.25,22.38,-0.19,-8.06,-3.13,-3.95,-8.30,-3.16,-4.13,50.11
5405316,94.69,-57.94,142.56,-0.11,-0.05,-0.03,0.18,0.00,-0.01,43.50,22.38,-1.06,-8.12,-3.15,-4.14,-8.31,-3.15,-4.13,50.18
5405346,94.38,-57.94,142.62,-0.13,-0.04,-0.03,0.17,-0.01,-0.11,42.25,21.56,-0.19,-8.13,-3.16,-4.24,-8.31,-3.15,-4.13,50.17
5405376,94.00,-58.00,142.75,-0.12,-0.05,-0.03,0.06,0.01,-0.18,42.25,21.56,-0.19,-8.25,-3.12,-4.32,-8.31,-3.14,-4.13,50.19
5405406,93.75,-58.00,142.81,-0.08,-0.05,-0.01,0.07,0.07,-0.14,42.69,22.00,1.06,-8.24,-3.06,-4.27,-8.32,-3.13,-4.13,50.22
5405436,93.62,-58.06,142.81,-0.04,-0.04,0.01,0.10,0.05,-0.01,42.69,22.00,1.06,-8.21,-3.07,-4.14,-8.32,-3.13,-4.13,50.27
5405466,93.50,-58.06,142.88,-0.01,-0.02,0.03,-0.08,0.06,0.01,42.69,22.69,-0.19,-8.41,-3.06,-4.11,-8.32,-3.12,-4.12,50.19
5405496,93.44,-58.12,142.88,-0.03,-0.02,0.03,0.00,0.11,0.10,42.25,22.00,-0.69,-8.33,-2.99,-4.01,-8.33,-3.11,-4.12,50.19
5405526,93.19,-58.25,143.00,-0.06,-0.03,0.02,0.16,0.11,0.04,42.25,22.00,-0.69,-8.17,-2.99,-4.07,-8.33,-3.10,-4.12,50.20
5405555,93.00,-58.25,143.06,-0.06,-0.01,0.01,0.07,0.07,-0.13,42.69,22.38,-0.69,-8.27,-3.01,-4.26,-8.34,-3.09,-4.12,50.16
5405586,92.94,-58.25,143.19,0.05,-0.00,0.04,0.12,-0.03,-0.24,42.69,22.38,-0.69,-8.22,-3.11,-4.37,-8.34,-3.08,-4.12,50.15
5405616,93.06,-58.31,143.19,0.13,-0.02,0.08,0.09,-0.10,-0.17,42.69,21.56,-0.19,-8.24,-3.18,-4.29,-8.34,-3.08,-4.12,50.19
