milliseconds,orientationx,orientationy,orientationz,angVelocityx,angVelocityy,angVelocityz,linAccelerationx,linAccelerationy,linAccelerationz,magneticx,magneticy,magneticz,accelerationx,accelerationy,accelerationz,gravityx,gravityy,gravityz,altitude
5523727,118.56,-17.44,-138.31,0.38,-0.86,-0.08,0.92,-2.86,-0.81,28.69,-31.88,16.69,-2.02,3.34,-7.80,-3.00,6.17,-6.99,50.36
5523753,119.31,-18.19,-140.50,2.47,-0.40,0.06,-0.09,-3.06,-1.14,28.56,-30.88,16.50,-3.16,2.85,-8.33,-3.06,5.91,-7.19,50.37
5523780,120.25,-18.38,-144.38,4.27,-0.09,0.20,0.26,-1.06,-0.21,28.56,-30.88,16.50,-2.82,4.03,-7.99,-3.09,5.10,-7.78,50.38
5523809,121.88,-18.19,-151.75,4.62,0.07,0.19,0.47,0.26,-0.56,29.25,-30.56,18.19,-2.57,4.30,-8.96,-3.05,4.04,-8.39,50.39
5523837,123.38,-17.94,-159.00,4.22,0.10,0.16,0.57,0.38,-0.43,29.25,-30.56,18.19,-2.44,3.72,-9.14,-3.02,3.34,-8.71,50.45
5523867,124.25,-17.81,-163.25,3.64,-0.11,0.21,0.33,0.72,-1.21,28.88,-26.88,24.06,-2.67,3.10,-10.24,-3.01,2.37,-9.02,50.54
5523894,125.56,-18.12,-168.75,3.07,-0.39,0.19,0.87,0.98,-0.98,28.88,-21.69,28.38,-2.78,2.90,-9.86,-3.09,1.58,-9.16,50.54
5523925,126.38,-19.06,-172.19,1.64,-0.64,0.09,0.05,0.60,-0.96,28.88,-21.69,28.38,-3.21,1.75,-10.14,-3.26,1.15,-9.17,50.63
5523958,126.94,-20.75,-173.38,0.03,-0.86,0.13,-0.40,0.20,-1.07,30.06,-17.88,31.06,-3.92,1.40,-10.19,-3.55,1.09,-9.07,50.62
5523987,126.94,-22.06,-171.69,-1.47,-0.75,0.13,-0.29,0.49,-0.75,30.06,-17.88,31.06,-3.98,1.80,-9.74,-3.69,1.31,-8.98,50.64
5524015,126.56,-22.75,-169.00,-3.03,-0.52,-0.02,-0.75,-0.79,-0.65,30.06,-16.00,31.06,-4.59,1.18,-9.45,-3.84,1.97,-8.80,50.69
